order_id,customer_id,order_date,product,quantity,amount,payment_mode
1,339,2026-01-04,Mouse,1,1249.08,UPI
2,856,2026-05-07,Phone,1,2913.35,UPI
3,741,2026-03-07,Mouse,2,3645.52,NetBanking
4,304,2026-01-13,Laptop,2,1394.21,UPI
5,873,2026-06-23,Tablet,4,1523.78,UPI
6,98,2026-01-12,Laptop,2,4271.1,Card
7,337,2026-04-23,Keyboard,3,1851.88,UPI
8,382,2026-02-16,Laptop,4,4093.33,NetBanking
9,986,2026-04-09,Mouse,4,2337.04,NetBanking
10,665,2026-02-12,Laptop,2,4442.01,UPI
11,966,2026-01-27,Headphones,5,4237.31,NetBanking
12,822,2026-04-23,Phone,5,2887.82,NetBanking
13,798,2026-01-08,Monitor,2,1857.13,NetBanking
14,943,2026-04-16,Headphones,1,2491.8,UPI
15,268,2026-01-04,Mouse,5,3309.37,Card
16,979,2026-03-28,Keyboard,5,3382.24,UPI
17,444,2026-03-05,Headphones,3,3342.39,NetBanking
18,153,2026-05-23,Keyboard,1,4211.26,UPI
19,659,2026-05-10,Monitor,4,4678.42,NetBanking
20,891,2026-05-06,Tablet,2,910.48,Cash
21,994,2026-05-10,Phone,5,1462.97,NetBanking
22,413,2026-01-21,Headphones,4,4103.81,NetBanking
23,91,2026-04-25,Tablet,1,4297.29,NetBanking
24,764,2026-01-27,Headphones,4,3301.53,UPI
25,571,2026-01-24,Monitor,5,2790.58,Cash
26,912,2026-02-22,Mouse,4,2590.85,Cash
27,373,2026-02-27,Monitor,4,4144.02,Cash
28,574,2026-06-03,Headphones,3,3860.34,NetBanking
29,117,2026-06-18,Phone,1,577.44,Cash
30,364,2026-03-16,Keyboard,5,4166.43,Cash
31,719,2026-02-12,Headphones,2,620.98,NetBanking
32,110,2026-02-20,Phone,1,1346.02,NetBanking
33,221,2026-02-18,Mouse,3,2339.53,UPI
34,776,2026-06-12,Monitor,5,2130.9,UPI
35,791,2026-04-28,Mouse,5,4469.6,Card
36,987,2026-05-16,Mouse,1,2544.26,NetBanking
37,859,2026-05-11,Monitor,2,2967.09,Card
38,749,2026-01-27,Headphones,5,4094.7,Cash
39,517,2026-04-18,Keyboard,2,4418.81,Cash
40,408,2026-03-17,Headphones,2,4821.61,Card
41,423,2026-05-12,Tablet,5,3052.37,Cash
42,729,2026-05-22,Mouse,2,3710.41,Card
43,215,2026-03-16,Mouse,3,3158.42,Card
44,728,2026-02-15,Keyboard,5,3285.42,Cash
45,728,2026-04-01,Keyboard,4,665.49,NetBanking
46,691,2026-05-17,Tablet,4,3764.56,UPI
47,536,2026-04-08,Phone,1,621.71,UPI
48,205,2026-02-11,Tablet,3,1408.19,Card
49,860,2026-03-17,Phone,5,403.96,UPI
50,368,2026-01-27,Keyboard,5,4088.73,Card
51,761,2026-04-10,Phone,5,3270.89,Cash
52,710,2026-04-08,Headphones,4,3356.02,Cash
53,990,2026-01-04,Mouse,3,2805.41,Card
54,636,2026-04-24,Monitor,2,4357.36,Cash
55,774,2026-06-04,Phone,2,2983.09,Cash
56,460,2026-06-24,Laptop,2,969.39,Card
57,753,2026-04-07,Laptop,4,2617.85,Cash
58,570,2026-02-11,Keyboard,3,1394.77,UPI
59,339,2026-02-09,Laptop,2,2385.02,Cash
60,612,2026-06-10,Keyboard,3,349.19,NetBanking
61,809,2026-04-02,Laptop,3,2906.12,Card
62,980,2026-01-18,Monitor,5,1000.96,Card
63,426,2026-04-14,Laptop,3,2761.09,Card
64,905,2026-03-26,Tablet,3,1145.43,Cash
65,224,2026-06-08,Keyboard,4,4756.51,UPI
66,118,2026-04-25,Phone,5,3377.8,Card
67,982,2026-03-24,Headphones,1,295.4,NetBanking
68,263,2026-03-14,Laptop,5,2747.16,Cash
69,527,2026-04-25,Headphones,1,4033.8,Cash
70,920,2026-03-24,Keyboard,1,3292.49,UPI
71,172,2026-05-18,Keyboard,1,4860.98,UPI
72,216,2026-02-24,Monitor,4,3384.64,UPI
73,211,2026-06-29,Mouse,4,2735.0,UPI
74,765,2026-01-07,Headphones,3,3461.61,UPI
75,90,2026-02-15,Monitor,3,458.92,UPI
76,589,2026-03-08,Headphones,4,4125.93,NetBanking
77,646,2026-03-22,Laptop,4,2081.8,UPI
78,548,2026-06-08,Laptop,5,128.9,UPI
79,718,2026-04-02,Keyboard,1,4256.43,Cash
80,806,2026-06-05,Laptop,3,3460.81,NetBanking
81,391,2026-06-19,Laptop,4,2036.05,Card
82,547,2026-04-11,Monitor,5,1177.34,Cash
83,984,2026-03-18,Mouse,3,3206.82,UPI
84,567,2026-02-06,Laptop,1,4386.36,UPI
85,587,2026-05-18,Keyboard,1,3023.61,Cash
86,216,2026-03-30,Phone,4,3766.65,Card
87,165,2026-06-07,Monitor,3,1001.56,Card
88,118,2026-05-26,Monitor,1,988.65,NetBanking
89,661,2026-03-16,Mouse,1,2793.36,Cash
90,101,2026-05-29,Headphones,3,1067.35,Cash
91,132,2026-03-02,Laptop,3,3389.35,UPI
92,922,2026-05-05,Headphones,3,1048.14,Cash
93,711,2026-05-25,Keyboard,3,2962.43,Cash
94,982,2026-01-02,Tablet,2,2198.71,Card
95,730,2026-04-22,Tablet,3,3725.1,Card
96,696,2026-05-03,Headphones,4,3691.57,Cash
97,794,2026-05-22,Laptop,2,1596.81,UPI
98,862,2026-02-05,Keyboard,2,1475.02,Cash
99,752,2026-01-20,Mouse,1,4443.05,UPI
100,870,2026-01-08,Monitor,5,2585.17,NetBanking
101,788,2026-01-10,Keyboard,3,2991.18,NetBanking
102,670,2026-04-04,Headphones,2,3898.47,Cash
103,138,2026-05-11,Laptop,4,2377.04,Cash
104,515,2026-03-03,Monitor,5,151.9,Card
105,776,2026-04-25,Phone,2,2619.27,Card
106,754,2026-04-02,Laptop,2,3686.82,NetBanking
107,238,2026-04-05,Phone,1,408.02,Card
108,531,2026-04-03,Headphones,4,4547.86,NetBanking
109,903,2026-06-16,Tablet,1,327.54,Cash
110,855,2026-05-29,Keyboard,5,3735.36,Card
111,386,2026-04-04,Keyboard,1,3303.01,Cash
112,386,2026-02-27,Keyboard,4,4866.1,Cash
113,837,2026-05-05,Monitor,4,4351.83,UPI
114,514,2026-04-23,Phone,2,4421.97,UPI
115,527,2026-02-24,Phone,2,3253.04,Card
116,371,2026-01-31,Mouse,2,3049.9,NetBanking
117,831,2026-01-30,Headphones,4,1718.1,NetBanking
118,216,2026-06-15,Monitor,4,2994.88,UPI
119,250,2026-05-27,Keyboard,2,311.41,Card
120,645,2026-05-27,Phone,1,2611.95,Card
121,265,2026-05-13,Headphones,5,4619.99,UPI
122,900,2026-06-19,Monitor,3,3625.78,UPI
123,222,2026-05-01,Monitor,4,2301.1,Card
124,225,2026-06-03,Phone,5,4168.78,Card
125,639,2026-03-09,Phone,3,3332.28,NetBanking
126,611,2026-02-28,Headphones,4,2993.92,Card
127,112,2026-05-14,Monitor,5,181.16,NetBanking
128,847,2026-01-25,Phone,4,832.85,UPI
129,899,2026-05-09,Monitor,1,3940.95,UPI
130,494,2026-06-04,Keyboard,1,3331.02,NetBanking
131,535,2026-01-12,Mouse,5,2161.35,NetBanking
132,235,2026-05-04,Monitor,4,4698.27,Cash
133,604,2026-06-28,Keyboard,1,4042.64,NetBanking
134,138,2026-03-01,Monitor,1,1347.14,Cash
135,613,2026-04-15,Tablet,2,4396.15,UPI
136,727,2026-01-02,Keyboard,5,3743.86,UPI
137,533,2026-06-17,Phone,3,135.25,NetBanking
138,371,2026-04-20,Mouse,5,622.26,Cash
139,268,2026-04-19,Keyboard,3,4289.39,Cash
140,697,2026-02-22,Headphones,5,2047.53,NetBanking
141,184,2026-05-23,Headphones,3,1914.04,Cash
142,592,2026-06-30,Headphones,2,1787.35,UPI
143,766,2026-06-29,Phone,1,1225.88,Card
144,521,2026-03-28,Monitor,5,2062.75,UPI
145,165,2026-06-12,Laptop,1,2006.61,Card
146,483,2026-04-22,Laptop,1,4636.72,Cash
147,228,2026-06-05,Laptop,4,1917.09,NetBanking
148,629,2026-03-15,Mouse,5,3315.26,UPI
149,969,2026-02-14,Mouse,4,3890.68,NetBanking
150,11,2026-06-18,Monitor,5,1088.37,Cash
151,200,2026-06-03,Keyboard,5,264.69,Card
152,630,2026-01-10,Tablet,2,930.47,UPI
153,1000,2026-03-12,Monitor,4,871.48,Cash
154,686,2026-05-31,Phone,5,2036.2,UPI
155,755,2026-01-24,Keyboard,3,3547.75,Cash
156,356,2026-03-12,Phone,5,4820.11,Card
157,466,2026-05-28,Laptop,3,4655.6,Card
158,417,2026-05-24,Laptop,5,2580.57,Cash
159,349,2026-05-12,Tablet,5,4740.38,Cash
160,711,2026-04-07,Keyboard,4,2269.57,Card
161,776,2026-04-28,Mouse,4,1764.34,UPI
